eval_count,mutation_size
120,3
220,3
320,2
420,1
520,1
620,1
720,1
820,1
920,1
1020,1
1120,1
1220,1
1320,1
1420,1
1520,1
1620,1
1720,1
1820,1
1920,1
2020,1
2120,1
2220,1
2320,1
2420,1
2520,1
2620,1
2720,1
2820,1
2920,1
3020,1
3120,1
3220,1
3320,1
3420,1
3520,1
3620,1
3720,1
3820,1
3920,1
4020,1
4120,1
4220,1
4320,1
4420,1
4520,1
4620,1
4720,1
4820,1
4920,1
5020,1
5120,1
5220,1
5320,1
5420,1
5520,1
5620,1
5720,1
5820,1
5920,1
6020,1
6120,1
6220,1
6320,1
6420,1
6520,1
6620,1
6720,1
6820,1
6920,1
7020,1
7120,1
7220,1
7320,1
7420,1
7520,1
7620,1
7720,1
7820,1
7920,1
8020,1
8120,1
8220,1
8320,1
8420,1
8520,1
8620,1
8720,1
8820,1
8920,1
9020,1
9120,1
9220,1
9320,1
9420,1
9520,1
9620,1
9720,1
9820,1
9920,1
10000,1
