eval_count,LS_avg_improvement,LS_successful_rate
300,0.3376475537116873,0.87
500,0.3769200939506549,0.63
700,0.3449373759293443,0.59
900,0.5296934187990398,0.55
1100,1.1831848934499833,0.49
1300,2.3758517736699774,0.55
1500,3.2314347080957813,0.44
1700,4.7318220093355885,0.64
1900,3.767445126113831,0.44
2100,4.71074273440641,0.52
2300,3.373169538241023,0.43
2500,4.056804618618068,0.47
2700,3.0691644509451983,0.41
2900,4.418631612249411,0.52
3100,2.7160439781643437,0.39
3300,6.455596729779331,0.61
3500,2.6009463892822327,0.42
3700,2.9373583480668746,0.38
3900,3.9383251420316667,0.38
4100,4.544529894546952,0.48
4300,3.4312571463365784,0.33
4500,4.515980498178508,0.47
4700,6.297098769341717,0.55
4900,4.012008130559491,0.51
5100,2.927816689000666,0.41
5300,4.063948941090989,0.38
5500,2.168043614207198,0.35
5700,2.5881255463401294,0.39
5900,3.4615626692285786,0.47
6100,2.3445588633562005,0.33
6300,4.119842661213343,0.43
6500,2.601579500058537,0.33
6700,4.363084322533426,0.45
6900,2.1083587392140326,0.29
7100,5.784123141999994,0.59
7300,2.8414056664312337,0.42
7500,3.155613983773542,0.44
7700,2.154542317832078,0.31
7900,5.020888745599265,0.47
8100,4.156352995171762,0.4
8300,5.48369903393501,0.56
8500,4.9077097660165485,0.53
8700,4.785240503936477,0.5
8900,6.008949619907504,0.61
9100,2.48841347101867,0.38
9300,3.8152652924979806,0.45
9500,3.6216689543315215,0.38
9700,4.185333989316306,0.53
9900,2.759940347310258,0.44
10000,0.0,0.0
