eval_count,LS_avg_improvement,LS_successful_rate
300,0.6501563746381593,0.72
500,0.5284785564518307,0.72
700,0.25073302448541473,0.47
900,0.19757478223473499,0.39
1100,0.26888557480594905,0.44
1300,0.1710035292361753,0.42
1500,0.1771566984081428,0.42
1700,0.10905063532676153,0.27
1900,0.18285028997381964,0.46
2100,0.18980230627700134,0.39
2300,0.1066967702023529,0.3
2500,0.14415498059469117,0.32
2700,0.095392797099244,0.24
2900,0.18499296636052506,0.46
3100,0.11824103912092988,0.3
3300,0.10665503724745769,0.3
3500,0.23866255639517978,0.49
3700,0.10545658656777043,0.32
3900,0.15064006806371094,0.34
4100,0.16925024458391463,0.44
4300,0.17549913677367285,0.39
4500,0.2676624928206767,0.34
4700,0.10901583264496492,0.36
4900,0.14899309928023827,0.4
5100,0.09470459882438143,0.3
5300,0.17121607494782165,0.51
5500,0.21617514835006335,0.37
5700,0.22958495101309975,0.38
5900,0.08446988435329686,0.34
6100,0.13459028149427166,0.38
6300,0.1737102008251449,0.43
6500,0.056654007469042186,0.21
6700,0.06662161380290418,0.3
6900,0.09043592242846987,0.34
7100,0.09258899109409435,0.27
7300,0.12605378594334976,0.36
7500,0.19227910965098294,0.45
7700,0.1480480022266455,0.43
7900,0.08170927861298943,0.31
8100,0.09553823986880276,0.31
8300,0.1488399123621517,0.47
8500,0.0954794256601778,0.34
8700,0.07058253247006935,0.32
8900,0.12410591583295805,0.48
9100,0.15246591581399277,0.4
9300,0.10838459222362334,0.33
9500,0.08726711849055391,0.37
9700,0.14432909257426954,0.38
9900,0.11262864611200613,0.42
10000,0.0,0.0
