eval_count,LS_avg_improvement,LS_successful_rate
300,5.9909887075882535,0.58
500,5.866642113348536,0.49
700,9.921684130431247,0.62
900,3.932252496316551,0.34
1100,5.571937493285569,0.38
1300,5.706784398281733,0.42
1500,5.5511139279956225,0.39
1700,5.560287691311135,0.43
1900,7.452168758881137,0.48
2100,6.446197647798149,0.47
2300,4.59817980915317,0.35
2500,8.777703852780299,0.54
2700,8.212541706431018,0.48
2900,7.545720108135266,0.48
3100,5.90343623227041,0.52
3300,8.160665794580108,0.5
3500,4.314193827836629,0.33
3700,6.0386840619569515,0.48
3900,4.988983149071736,0.44
4100,5.1047500222113165,0.35
4300,4.7831662525395355,0.36
4500,5.540564689369973,0.53
4700,6.692836542937015,0.49
4900,3.8330699112023243,0.46
5100,9.590936081932064,0.67
5300,4.91407431457534,0.42
5500,6.728471806309257,0.51
5700,1.9457107051516807,0.27
5900,7.058919160758506,0.49
6100,3.362728456419086,0.45
6300,5.167013943382171,0.5
6500,3.651668130412621,0.39
6700,6.05534140316591,0.49
6900,4.494253185585278,0.48
7100,7.671191570795059,0.48
7300,6.577866066628892,0.55
7500,7.541250600859766,0.54
7700,3.837423898671405,0.43
7900,5.911389104007606,0.55
8100,3.1412742366439295,0.36
8300,4.932339935572947,0.36
8500,5.907351409167571,0.42
8700,3.7417416668780614,0.41
8900,4.3003230530639724,0.31
9100,6.025313671288486,0.53
9300,8.51736234208196,0.61
9500,3.7780496923046094,0.41
9700,3.927173608223336,0.39
9900,5.756395834011196,0.52
10000,13.129525353586377,1.0
