eval_count,LS_avg_improvement,LS_successful_rate
700,0.3069104883882162,0.63
800,0.02201120546879726,0.12
900,0.01845038920226302,0.09
1000,0.007433912406825449,0.03
1100,0.016144440368603855,0.09
1700,0.2632368259262816,0.6
1800,0.020525431858108876,0.12
1900,0.013003684603211267,0.1
2000,0.004809641528071653,0.05
2100,0.013769470966151892,0.08
2700,0.11288350437091371,0.42
2800,0.002712484430602684,0.04
2900,0.00817359422291858,0.06
3000,0.012719236526979599,0.1
3100,0.019300314990194956,0.06
3700,0.18864888927979642,0.4
3800,0.01347581416771373,0.07
3900,0.0064238441102469675,0.05
4000,0.0017783036950708552,0.03
4100,0.003827474716104735,0.04
4700,0.11259510951418118,0.33
4800,0.007371002512057032,0.07
4900,0.0008679463364940876,0.02
5000,0.00874636519992376,0.05
5100,0.009426403234715943,0.09
5700,0.18177943934635948,0.51
5800,0.031996897897772374,0.05
5900,0.0035956070909812076,0.02
6000,0.007709671371527564,0.08
6100,0.008181943204140394,0.06
6700,0.20743807029947775,0.39
6800,0.011178786467852113,0.08
6900,0.000798052207220854,0.01
7000,0.008270075336448902,0.04
7100,0.011526798349697148,0.09
7700,0.11111042524761036,0.28
7800,0.009588584409626667,0.06
7900,0.008467278679450034,0.04
8000,0.0075853257889576305,0.07
8100,0.01098078648621561,0.06
8700,0.2493659527497779,0.37
8800,0.0019205553186476987,0.03
8900,0.019096337119872634,0.09
9000,0.014886385187013813,0.06
9100,0.0060950510242547655,0.05
9700,0.31058733057197835,0.51
9800,0.011064820447990655,0.05
9900,0.023481124052525112,0.11
10000,0.03268062045447638,0.11
10000,0.0,0.0
