eval_count,LS_avg_improvement,LS_successful_rate
700,16.626318999609293,0.64
800,0.5693095184752102,0.17
900,0.6397458964640076,0.11
1000,0.1573242565071073,0.04
1100,0.12757427591012038,0.06
1700,15.724837773752675,0.68
1800,1.5704957663894026,0.14
1900,0.7524974405117066,0.11
2000,0.20681689115847018,0.06
2100,0.626495448375637,0.05
2700,17.15864769826742,0.53
2800,1.445283150220726,0.13
2900,0.7545805147034139,0.07
3000,0.3135308530396712,0.06
3100,1.2575233609903385,0.12
3700,8.737030259875892,0.39
3800,1.0590582665414214,0.09
3900,0.6761127745191828,0.05
4000,0.7230750612300928,0.1
4100,1.2610722744922445,0.14
4700,14.67234807784842,0.51
4800,0.3250969193805286,0.03
4900,0.721488288754013,0.07
5000,1.0467348507777416,0.09
5100,0.756907648532802,0.07
5700,23.837962151561793,0.54
5800,0.19889942528833734,0.04
5900,0.23609962641427637,0.07
6000,0.4717011784614534,0.06
6100,0.15299947906634523,0.05
6700,12.623446209818576,0.45
6800,0.5669760897980043,0.09
6900,1.9696690851693652,0.11
7000,0.1882697299029622,0.05
7100,0.46630274614435435,0.06
7700,13.857665664476926,0.44
7800,0.2585207204534289,0.06
7900,0.6229730780793159,0.07
8000,0.7559832223112195,0.11
8100,0.6106633064966761,0.04
8700,16.77183287521759,0.49
8800,0.522672783747957,0.09
8900,0.6558841115893469,0.08
9000,0.2274251829220716,0.07
9100,0.4457868425241356,0.08
9700,20.291871680275822,0.62
9800,1.5165101769529445,0.12
9900,0.8553167860948343,0.09
10000,1.0736614534978552,0.08
10000,0.0,0.0
