eval_count,LS_avg_improvement,LS_successful_rate
700,1.3092507249833287,0.77
800,0.9900516339889345,0.2
900,1.0057275601664244,0.18
1000,0.9299053019218106,0.19
1100,0.7103321734075757,0.18
1700,10.944530771918648,0.54
1800,0.3403223275146008,0.13
1900,0.7562192054528992,0.12
2000,0.19450984987030395,0.04
2100,0.16526611860391646,0.08
2700,7.567051272541672,0.39
2800,0.5705821839131721,0.1
2900,0.8201689167619282,0.11
3000,0.3782701638967533,0.08
3100,0.5818344498854201,0.08
3700,4.663492357434226,0.33
3800,0.23012241710753464,0.05
3900,0.7103685039857188,0.08
4000,0.47619591166571756,0.08
4100,0.879476305620776,0.06
4700,13.601552164066696,0.47
4800,0.2648296142019966,0.05
4900,0.23330849487447225,0.05
5000,0.5789115530640656,0.11
5100,0.2909744646568069,0.12
5700,6.781648528552252,0.3
5800,0.1010247370977477,0.06
5900,0.3661742917836473,0.09
6000,0.5906623175739866,0.17
6100,0.044684583411500396,0.04
6700,7.870027448557824,0.3
6800,0.21374791806239032,0.1
6900,0.09584440095764066,0.06
7000,0.20472323024394598,0.1
7100,0.1084479463425167,0.05
7700,9.704859710006158,0.33
7800,0.04533149697865085,0.09
7900,0.3397694955844844,0.11
8000,0.2898129151347277,0.07
8100,0.2651601093255627,0.07
8700,9.490787634789498,0.38
8800,0.3480137469125823,0.12
8900,0.33538711666792,0.08
9000,0.5582004984468442,0.11
9100,0.4054376706867845,0.06
9700,10.084998843927664,0.35
9800,0.17033665002231715,0.05
9900,0.4348393208104656,0.06
10000,0.4559119074935388,0.08
10000,0.0,0.0
