eval_count,score
100,17.72911289446556
200,20.432761865458403
300,54.00446787873206
500,128.1011983020777
1300,186.20649142177885
2500,207.76010060774038
3400,224.6602590656145
3800,315.3658434155577
3900,325.7336589703501
4300,372.43076826306003
4800,419.25767709056663
4900,420.38336785865795
5200,424.9645327815944
5300,435.91489492326104
5500,442.15490804191955
5700,443.78922891791296
6700,453.0065000328438
6800,457.2397831440149
8600,466.62607852080953
10000,466.62607852080953
