eval_count,LS_avg_improvement,LS_successful_rate
200,0.5909651904927345,0.8
300,0.08588581888087687,0.5
400,0.8546757616231908,0.55
500,0.10571036188944523,0.3
600,0.10354455727347704,0.3
700,0.18030458233290525,0.5
800,0.0664209622251494,0.15
900,0.29556452780528475,0.3
1000,0.025740483063570973,0.25
1100,0.060541357017354615,0.3
1200,0.16606049569036124,0.2
1300,0.7353426083606497,0.1
1400,0.044865504554601324,0.1
1500,0.032749362599196495,0.15
1600,0.08159025161454929,0.2
1700,0.05753737597318516,0.05
1800,0.009366830006977533,0.1
1900,0.10994485884944641,0.15
2000,0.010244995389865874,0.15
