eval_count,LS_avg_improvement,LS_successful_rate
250,0.27542198829505793,0.8
400,0.09855307037393812,0.3
550,0.123979837857308,0.5
700,0.14293682999073248,0.6
850,1.4019698212628857,0.9
1000,0.9667592396862993,0.6
1150,0.2820948271517814,0.3
1300,2.2158699046215338,0.6
1450,2.631206972989793,0.6
1600,0.8568734996782503,0.3
1750,1.119854556182427,0.4
1900,0.7677669646472207,0.5
2050,1.1036031703139675,0.3
2200,0.33393736550820313,0.4
2350,0.02457380789159025,0.1
2500,0.42163234613292494,0.2
2650,0.16986101978069607,0.2
2800,0.10508970932343295,0.1
2950,0.0,0.0
3100,0.03237255669219117,0.1
3250,0.3799362526640415,0.2
3400,0.18022923714720562,0.2
3550,0.18334042441726836,0.1
3700,0.5267901850114256,0.1
3850,0.3922259945734375,0.1
4000,0.28164259219476834,0.1
4150,0.0,0.0
4300,0.1113987386243231,0.1
4450,0.0,0.0
4600,0.0743663803683063,0.1
4750,0.0,0.0
4900,0.17548239388971537,0.1
5050,0.0,0.0
5200,0.0,0.0
5350,0.0,0.0
5500,0.0,0.0
5650,0.0,0.0
5800,0.0,0.0
5950,0.004207077769736145,0.1
6100,0.0,0.0
6250,0.0,0.0
6400,0.0,0.0
6550,0.0,0.0
6700,0.0,0.0
6850,0.0,0.0
7000,0.0,0.0
7150,0.0,0.0
7300,0.0,0.0
7450,0.0,0.0
7600,0.0,0.0
7750,0.0,0.0
7900,0.0,0.0
8050,0.0,0.0
8200,0.0,0.0
8350,0.0,0.0
8500,0.0,0.0
8650,0.0,0.0
8800,0.0,0.0
8950,0.0,0.0
9100,0.0,0.0
9250,0.0,0.0
9400,0.0,0.0
9550,0.0,0.0
9700,0.0,0.0
9850,0.0,0.0
10000,0.0,0.0
