eval_count,LS_avg_improvement,LS_successful_rate
120,3.268500176909871,0.45
220,0.693023388099248,0.15
320,0.5743159793485259,0.2
420,0.1304124952937429,0.07
520,0.17710323217643162,0.06
620,0.07599183875773036,0.12
720,0.47339284759504424,0.13
820,0.17106735062585432,0.14
920,0.30066123620875607,0.09
1020,0.4907538591696416,0.1
1120,0.1562437247947727,0.05
1220,0.17350197571712883,0.07
1320,0.2609520833055885,0.07
1420,0.22969136158822415,0.11
1520,0.3374855173801519,0.06
1620,0.5274752423624475,0.15
1720,0.39797281708636206,0.1
1820,0.3683468331945772,0.08
1920,0.07257295157766837,0.01
2020,0.09227890993499553,0.05
2120,0.39408152216667475,0.07
2220,0.6048732639998643,0.09
2320,0.6459395839313369,0.1
2420,0.3968948909431759,0.07
2520,0.38781082296380526,0.07
2620,0.45377473624967446,0.07
2720,0.4868414174643695,0.11
2820,0.8008710315287351,0.1
2920,0.27833213417746233,0.08
3020,0.2358234425979097,0.04
3120,0.6223752189642776,0.15
3220,0.28528655732098224,0.05
3320,0.23699518410913004,0.07
3420,0.11544734680975552,0.07
3520,0.363779018340152,0.06
3620,0.358475597750566,0.07
3720,0.46978145374015073,0.12
3820,0.6434522722635282,0.15
3920,0.2691458867910549,0.11
4020,0.06903413465925028,0.04
4120,0.2362059022797473,0.06
4220,0.20158665428429995,0.07
4320,0.47448997827815503,0.07
4420,0.1909846957013616,0.06
4520,0.7088757605257644,0.07
4620,0.22540037887147135,0.04
4720,0.4713966548618245,0.06
4820,0.6406188976311061,0.07
4920,0.5943483024076037,0.13
5020,0.1718032227333541,0.04
5120,0.3453696902326979,0.06
5220,0.2809521284273426,0.09
5320,0.25514968652023506,0.03
5420,0.16892115267256635,0.04
5520,0.6156018958888374,0.1
5620,0.40832567353479887,0.1
5720,0.2827076464652911,0.08
5820,0.13537088567692065,0.09
5920,0.20001364804755956,0.05
6020,0.06601315195896326,0.06
6120,0.26625896721093406,0.09
6220,0.24376948912572124,0.07
6320,0.7118801419519142,0.11
6420,0.35574630891612347,0.05
6520,0.39129426005806933,0.05
6620,0.7786487545657148,0.13
6720,0.08416613608866182,0.03
6820,0.3885667190184677,0.06
6920,0.2994924109465735,0.06
7020,0.08888865689363015,0.02
7120,0.8823181761034868,0.15
7220,0.40481054782048065,0.1
7320,0.09704255691105239,0.04
7420,0.3723607552203184,0.07
7520,0.12890074039076424,0.07
7620,0.36599715550754053,0.07
7720,0.209829722705423,0.06
7820,0.20338089794973072,0.06
7920,0.2656533935240813,0.08
8020,0.4705143621192991,0.12
8120,0.1303330242082424,0.03
8220,0.9197311524272691,0.18
8320,0.39131354970752885,0.04
8420,0.18310133481323884,0.05
8520,0.2767614227552402,0.04
8620,0.5402993189419774,0.14
8720,0.38340148842042737,0.1
8820,0.16703129671310257,0.06
8920,0.20258104653721623,0.06
9020,0.25889140834749114,0.05
9120,0.5465745864910734,0.13
9220,0.3645894052314854,0.09
9320,0.14900108398016987,0.04
9420,0.37868816723676973,0.06
9520,0.23224766454241394,0.05
9620,0.5629516587487454,0.13
9720,0.5206023442694946,0.1
9820,0.19915618227702697,0.02
9920,0.5231588558255852,0.09
10000,0.04180756995553839,0.02
