eval_count,LS_avg_improvement,LS_successful_rate
600,10.304217794254523,0.84
1100,2.841698161037061,0.59
1600,0.8875156311544846,0.31
2100,0.9923768760799447,0.31
2600,1.036651054124993,0.27
3100,1.260989698367062,0.28
3600,1.6771125931466264,0.25
4100,0.7514763009814464,0.19
4600,0.9197373755163395,0.2
5100,0.6558796217321218,0.13
5600,0.8315466048086632,0.14
6100,0.48633639555384556,0.14
6600,0.8428669441866421,0.19
7100,0.11146465491015053,0.1
7600,0.8631934615885818,0.08
8100,0.7785359678443048,0.16
8600,0.12404444411711195,0.06
9100,0.4883031127889545,0.12
9600,0.7482843439928192,0.15
10000,0.9555723259325376,0.34
