eval_count,LS_avg_improvement,LS_successful_rate
120,8.193064586092373,0.55
220,0.1917809016664892,0.15
320,0.10377072520820278,0.14
420,0.1309541283310976,0.11
520,0.3214316149243676,0.03
620,0.24704279585668532,0.14
720,0.07360503405961392,0.05
820,0.1074557588818886,0.07
920,0.4983297422922617,0.1
1020,0.09965511254744491,0.06
1120,0.26024498858150147,0.1
1220,0.09166741628655316,0.09
1320,0.28018944306388366,0.1
1420,0.11829602523801483,0.05
1520,0.23108619795965638,0.05
1620,0.24676364410603122,0.1
1720,0.3123109747216486,0.1
1820,0.14229373204041829,0.06
1920,0.5101557711102679,0.11
2020,0.1809490744446994,0.04
2120,0.11961000587309834,0.06
2220,0.2172675193849237,0.06
2320,0.25163516471953434,0.08
2420,0.2120795547320083,0.07
2520,0.1357801361516217,0.09
2620,0.9068998082322841,0.15
2720,0.4548243558660336,0.07
2820,0.047465013457582333,0.03
2920,0.018108815809969057,0.02
3020,0.3183770480868159,0.11
3120,0.10739589101799432,0.04
3220,0.0946098677040014,0.08
3320,0.21441229145853902,0.14
3420,0.22462909484999635,0.08
3520,0.13267586525074557,0.07
3620,0.28232202489163993,0.12
3720,0.40883905278748683,0.08
3820,0.29467561133128856,0.08
3920,0.41291931789052655,0.09
4020,0.42257895717864147,0.1
4120,0.0339912140168672,0.05
4220,0.12069758474488608,0.03
4320,0.3279121081693518,0.08
4420,0.43401334179089907,0.14
4520,0.17722094368768104,0.04
4620,0.31287513269892037,0.04
4720,0.5413932992347168,0.1
4820,0.2191253952208266,0.06
4920,0.7314686030079155,0.09
5020,0.14985511256434575,0.05
5120,0.7545367180897017,0.11
5220,0.131833641070517,0.04
5320,0.12236713889013359,0.05
5420,0.744924899606945,0.08
5520,0.3204201697475321,0.08
5620,0.38273671049485275,0.05
5720,0.31624913431090584,0.07
5820,0.7265818876321142,0.15
5920,0.09887985281927897,0.04
6020,0.32701265999961543,0.07
6120,0.5266551532175595,0.1
6220,0.19352606245024323,0.07
6320,0.15922464130435823,0.06
6420,0.6686541994020695,0.11
6520,0.18353484432837897,0.06
6620,0.3015333799282307,0.08
6720,0.2777579691910123,0.06
6820,0.34128581890614235,0.06
6920,0.11082447959006156,0.04
7020,0.6166943069813527,0.11
7120,0.3297758088974326,0.05
7220,0.26891911611734076,0.04
7320,0.38702522021574365,0.08
7420,0.5730667502927593,0.11
7520,0.1768851945558999,0.05
7620,0.43954586965988945,0.11
7720,0.09958274413352694,0.03
7820,0.28273078310978034,0.06
7920,0.2630590073116928,0.1
8020,0.2010722329044423,0.06
8120,0.5549337125242936,0.14
8220,0.12011986906653896,0.05
8320,0.1888226344679483,0.06
8420,0.6475181278347799,0.09
8520,0.14458597297859793,0.05
8620,0.39814669080438186,0.11
8720,0.19783827572213908,0.04
8820,0.38377794882306376,0.09
8920,0.33202456928438745,0.04
9020,0.6138070109637837,0.08
9120,0.3910222204856306,0.09
9220,0.13292909302687597,0.05
9320,0.6007269809332222,0.13
9420,0.5005713239302684,0.05
9520,0.14122386008441004,0.05
9620,0.0940439964700175,0.05
9720,0.30194414645213646,0.08
9820,0.8516950306894799,0.07
9920,0.3299328960125928,0.08
10000,0.1712626339411323,0.06
