eval_count,LS_avg_improvement,LS_successful_rate
200,0.3963237152655996,0.8
300,0.06935208575598731,0.19
400,0.044718952434920294,0.13
500,0.03627394862773223,0.13
600,0.011188897426449778,0.06
700,0.04270678854653848,0.17
800,0.0060920558478948375,0.05
900,0.01695634016445305,0.07
1000,0.020771600223175576,0.06
1100,0.028255516579938522,0.1
1200,0.005052919941973517,0.03
1300,0.03459177557353554,0.06
1400,0.013937263544693854,0.05
1500,0.0229112621226123,0.09
1600,0.0009377064692355753,0.01
1700,0.06776301567089818,0.17
1800,0.01898525861754029,0.06
1900,0.012768007061836749,0.07
2000,0.03778490317922321,0.09
