eval_count,LS_avg_improvement,LS_successful_rate
200,7.004245073962222,0.58
300,0.25763614734704005,0.16
400,1.5033137661368385,0.28
500,1.6954281227546741,0.21
600,1.7954654973323259,0.16
700,0.0800853365869915,0.02
800,1.1442859027398833,0.1
900,0.32516875479235857,0.05
1000,1.1745146534711965,0.11
1100,1.5510771100593395,0.14
1200,0.4763138247387219,0.05
1300,0.949712637029915,0.08
1400,0.9683299837980109,0.08
1500,0.22354579183317785,0.02
1600,0.9103562316852841,0.09
1700,0.5542013004458779,0.05
1800,0.8569804092675536,0.07
1900,1.0651837679057785,0.1
2000,0.813877984427819,0.09
