eval_count,LS_avg_improvement,LS_successful_rate
200,0.2928385553335911,0.85
300,0.12292035535299646,0.2
400,0.044435670354628094,0.13
500,0.1098148276070016,0.1
600,0.13553273868411383,0.15
700,0.2430300987955289,0.16
800,0.4672387994288988,0.18
900,0.4055752994555111,0.18
1000,0.2153895558477808,0.06
1100,0.32351204504441144,0.08
1200,0.27479241442650126,0.15
1300,0.15927930439829133,0.11
1400,0.10299570298405229,0.11
1500,0.05892838374755861,0.11
1600,0.08711946677372318,0.17
1700,0.10084327934587996,0.11
1800,0.0215564832620867,0.1
1900,0.028684778130066136,0.07
2000,0.04289929370559758,0.06
