eval_count,LS_avg_improvement,LS_successful_rate
200,0.37168931025745494,0.75
300,0.0659096015512108,0.45
400,0.021300334235990048,0.25
500,0.07730684499274965,0.35
600,0.11254946617652432,0.65
700,1.3642030072181324,0.55
800,0.06990564321589363,0.4
900,0.803931182531328,0.35
1000,0.07553433603744134,0.35
1100,0.3456743311377062,0.3
1200,0.3974168633229787,0.25
1300,0.058238008400958566,0.35
1400,0.1853233104076671,0.3
1500,0.21902248441915625,0.3
1600,0.021937172171569496,0.2
1700,0.41568296585066344,0.35
1800,0.4047212883783775,0.2
1900,0.1065320875408069,0.25
2000,0.7486891253629187,0.2
