eval_count,LS_avg_improvement,LS_successful_rate
300,0.31619495279374327,0.79
500,0.4169288219083523,0.72
700,0.5140155640643627,0.74
900,0.45729723786757104,0.65
1100,0.44474214436252835,0.48
1300,0.6082411425630709,0.58
1500,0.4553189102413823,0.48
1700,0.4084488116386089,0.51
1900,0.5759294169294407,0.53
2100,0.39582811985151184,0.43
2300,0.4782573131488011,0.49
2500,0.23216628082275753,0.35
2700,0.3852562886561624,0.49
2900,0.5240661431157703,0.56
3100,0.4279573328182107,0.45
3300,0.4450111509059431,0.4
3500,0.31006066712863545,0.41
3700,0.6473865324196305,0.66
3900,0.4901139923123698,0.49
4100,0.3622891105348813,0.37
4300,0.3958281154944087,0.49
4500,0.4313303971432675,0.46
4700,0.7330855560524538,0.54
4900,0.38901305842255257,0.43
5100,0.6012659647284262,0.44
5300,0.4672294996402695,0.51
5500,0.6431509657887726,0.57
5700,0.3994145506070167,0.39
5900,0.6518593044041006,0.52
6100,0.6554895002078085,0.58
6300,0.5467725440040253,0.41
6500,0.5893865632129692,0.52
6700,0.5549922443238633,0.46
6900,0.7583150770932992,0.51
7100,0.8003462105730567,0.62
7300,0.5595991380396308,0.49
7500,0.5260857576061003,0.51
7700,0.6023232924482931,0.48
7900,0.5561652134041795,0.51
8100,0.652292579112893,0.55
8300,0.7810155567086771,0.45
8500,0.5147029980023753,0.42
8700,0.512506843899783,0.41
8900,0.39214583805389724,0.4
9100,0.592249020208013,0.54
9300,0.6187711748175829,0.51
9500,0.6762974819985044,0.45
9700,0.3741128996188083,0.37
9900,0.742625637261918,0.51
10000,0.0,0.0
