eval_count,LS_avg_improvement,LS_successful_rate
120,4.987835155755446,0.46
220,0.7655976568959472,0.22
320,0.5175304791323916,0.19
420,0.22151789978004932,0.15
520,0.24757098686342183,0.09
620,0.10224008282912561,0.06
720,0.12744730902801715,0.08
820,0.20587573319312114,0.09
920,0.3308365366999428,0.11
1020,0.14057817766081215,0.07
1120,0.3926890021284885,0.11
1220,0.36232006259516064,0.08
1320,0.4066810139772848,0.09
1420,0.44991580945041576,0.09
1520,0.19901342238440747,0.07
1620,0.3383815511147128,0.06
1720,0.2012595286445046,0.08
1820,0.26645759945493136,0.1
1920,0.2660920349015166,0.06
2020,0.4292070350842858,0.09
2120,0.5421089632914238,0.07
2220,0.39808741028653266,0.07
2320,0.23971319568642063,0.07
2420,0.4740146348405007,0.09
2520,0.2878428777764102,0.09
2620,0.5336076984776981,0.14
2720,0.4094687891310002,0.1
2820,0.24095718687713089,0.05
2920,0.6093700077344384,0.12
3020,0.6474435071862265,0.11
3120,0.18237218900382793,0.03
3220,0.4115940671028923,0.12
3320,0.2481252000729791,0.03
3420,0.36787408196143645,0.08
3520,0.4994539709344177,0.09
3620,0.33144707693181585,0.05
3720,0.30693379030566864,0.05
3820,0.35856561857606023,0.08
3920,0.7253449895243306,0.12
4020,0.21882534097009995,0.09
4120,0.4353803808840921,0.11
4220,0.17678815088221,0.05
4320,0.36888023602352105,0.06
4420,0.2387647720613831,0.06
4520,0.5222408661747471,0.13
4620,0.22299763024436436,0.05
4720,0.42150754310499694,0.11
4820,0.885776628577284,0.09
4920,0.17704978395643828,0.04
5020,0.5926505764127988,0.12
5120,0.4062564079808438,0.08
5220,0.29900962198533504,0.04
5320,0.6646343394289813,0.11
5420,0.453969537974035,0.05
5520,0.2664909345529699,0.07
5620,0.07010154809466122,0.05
5720,0.18685949355479514,0.05
5820,0.3357358266904973,0.07
5920,0.24237429745098427,0.13
6020,0.25311313952867814,0.08
6120,0.21806735575537542,0.04
6220,0.2953799426822708,0.06
6320,0.35126637797995164,0.07
6420,0.2904070381980789,0.08
6520,0.49943169891889627,0.12
6620,0.07666215122058578,0.05
6720,0.15196684010260525,0.06
6820,0.022024758447368314,0.02
6920,0.3412082062290584,0.08
7020,0.42161032650382113,0.09
7120,0.17620137688015278,0.05
7220,0.4451601422365441,0.08
7320,0.0,0.0
7420,0.6468003814656348,0.09
7520,0.11905374278776741,0.04
7620,0.42333792464685815,0.07
7720,0.4008829168314138,0.09
7820,0.20355697734333247,0.04
7920,0.40139734347478984,0.05
8020,0.6269156109746753,0.08
8120,0.17214329114317783,0.06
8220,0.6157661729607757,0.11
8320,0.3880114488284468,0.06
8420,0.25096275864160794,0.08
8520,0.5046091516584991,0.14
8620,0.5406868803459728,0.13
8720,0.21625692320189033,0.09
8820,0.2155604275874265,0.05
8920,0.17246466952183467,0.06
9020,0.6078922350712314,0.12
9120,0.6631951615548966,0.12
9220,0.08896953597353217,0.04
9320,0.6143121400443948,0.09
9420,0.610973086981077,0.1
9520,0.19078384808733234,0.03
9620,0.7326700562798562,0.13
9720,0.13610399315448604,0.05
9820,0.4807684891892729,0.09
9920,0.45290963862226474,0.07
10000,0.5093817041455757,0.05
