eval_count,LS_avg_improvement,LS_successful_rate
200,11.11107874094931,0.83
300,0.34216272442013745,0.18
400,0.19519861185340537,0.09
500,0.19371422017430376,0.13
600,0.12211400490091666,0.09
700,0.30236235601989436,0.15
800,0.22526326956922965,0.11
900,0.5548059309438839,0.14
1000,0.12470284593801026,0.05
1100,0.35198978132587727,0.06
1200,0.5529098141016934,0.18
1300,0.3146390317010185,0.1
1400,0.2211017238924642,0.06
1500,0.6048349239614457,0.11
1600,0.27289407693874634,0.08
1700,0.1586324522154985,0.07
1800,0.22260280819603817,0.07
1900,0.20714233736811735,0.06
2000,0.27879270430749964,0.07
