eval_count,LS_avg_improvement,LS_successful_rate
200,2.632147073130979,0.55
300,0.42541408572382655,0.2
400,1.2361320521493013,0.4
500,0.4127802835322293,0.45
600,0.48851846003965127,0.35
700,0.2840565028937011,0.25
800,0.7347669967874386,0.2
900,0.028061618228925233,0.05
1000,0.8444861492801868,0.2
1100,0.0,0.0
1200,0.9597573217949356,0.4
1300,0.41945716288079904,0.15
1400,0.9711031804394221,0.15
1500,0.0,0.0
1600,0.30830396043298924,0.1
1700,0.0,0.0
1800,0.0022320759768060584,0.05
1900,0.0025583072712695555,0.05
2000,0.24008129004515447,0.1
