eval_count,LS_avg_improvement,LS_successful_rate
600,12.829509472914502,0.9
1100,3.9456883344693936,0.69
1600,2.0716012934179178,0.41
2100,1.1122260156397257,0.4
2600,1.1222608693201308,0.41
3100,0.6206210399793392,0.23
3600,0.7117360027191354,0.25
4100,0.6060757911824802,0.21
4600,0.17611090477990948,0.09
5100,0.5174345873678025,0.14
5600,0.22938631724531788,0.1
6100,0.3889160668838766,0.18
6600,0.6071637683778374,0.15
7100,0.23615515535822446,0.12
7600,0.12742657082558492,0.09
8100,0.4565338791333825,0.18
8600,0.07378169447391908,0.1
9100,0.40664440020538434,0.11
9600,0.189072662704649,0.1
10000,0.3390247714867586,0.09
