eval_count,LS_avg_improvement,LS_successful_rate
300,5.1715182352832425,0.42
500,6.121281570571643,0.54
700,8.989835821678325,0.59
900,9.453899562695293,0.55
1100,9.226097236952981,0.52
1300,11.73630830712451,0.76
1500,12.034954484250038,0.67
1700,8.899295769885937,0.49
1900,12.423880756500383,0.61
2100,9.748794126223,0.57
2300,10.941466764333759,0.63
2500,9.679726036624754,0.5
2700,10.042478829235888,0.6
2900,9.912896282604068,0.55
3100,4.896287439203539,0.42
3300,5.671006782422679,0.42
3500,10.287467379130184,0.52
3700,6.0531472252563185,0.39
3900,7.367592650353957,0.46
4100,7.43836908248627,0.53
4300,8.4019904952768,0.53
4500,7.071132468039703,0.49
4700,3.9052961300193196,0.33
4900,3.736436254668823,0.32
5100,6.159179129607063,0.46
5300,7.281694028778278,0.5
5500,5.137881252967296,0.4
5700,2.7743369511791025,0.33
5900,5.42193793321539,0.39
6100,4.253636910771118,0.39
6300,6.549976851624579,0.45
6500,4.566527130320236,0.4
6700,4.8741998761892855,0.41
6900,4.355453384861568,0.41
7100,7.335503658644122,0.62
7300,3.975323234121953,0.31
7500,3.1835111692657385,0.37
7700,2.1723118995689816,0.24
7900,3.6170842599872817,0.35
8100,6.365793238294365,0.45
8300,3.988486820673135,0.44
8500,3.5886742152786404,0.37
8700,7.759460072410082,0.49
8900,3.319718499314859,0.37
9100,5.724516057167973,0.55
9300,6.4109457363663385,0.47
9500,7.547767816899872,0.56
9700,4.559839651370733,0.42
9900,5.820471020809277,0.54
10000,2.603915260542448,0.15
